universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","DASAR-DASAR IPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","FISIKA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","KIMIA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","DASAR -DASAR KEPENDIDIKAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","FILSAFAT PENDIDIKAN IPA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","KEHIDUPAN TINGKAT SEL",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","TEORI BELAJAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Genap","SAINS TERINTEGRASI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ilmu Pengetahuan Alam","Ganjil","FLUIDA, GELOMBANG, DAN OPTIK",3,3,"Wajib"
