universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","DASAR KEPENDIDIKAN KEJURUAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","FISIKA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","ILMU BAHAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","K3 DAN HUKUM KETENAGAKERJAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","KIMIA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","MATEMATIKA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","METROLOGI INDUSTRI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","TEKNOLOGI MEKANIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","KELISTRIKAN OTOMOTIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","MEKANIKA FLUIDA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","TEKNOLOGI MESIN PEMBAKARAN DALAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","PERENCANAAN PEMBELAJARAN TEKNOLOGI OTOMOTIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","PERPINDAHAN PANAS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","STRATEGI PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Vokasional Teknologi Otomotif","Genap","TERMODINAMIKA",2,2,"Wajib"
