universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","GRUNDGRAMMATIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","LESEN FUER ANFAENGER",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","SCHREIBEN FUER ANFAENGER",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","HOEREN FUER ANFAENGER",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","KULTURKUNDE",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","SPRECHEN FUER ANFAENGER",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","MEDIA PENGAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","SPRACHLEHRE",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","TELAAH KURIKULUM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","THEMATISCHES HOEREN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","THEMATISCHES LESEN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","THEMATISCHES SCHREIBEN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Genap","THEMATISCHES SPRECHEN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","ERWEITERTES LESEN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","ERWEITERTES SCHREIBEN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","INTERKULTURELLE KOMMUNIKATION",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jerman","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
